Test,Threads,Time,Count,Verified
1,1,0.004589,166065,166065
2,1,0.004019,166065,166065
3,1,0.003722,166065,166065
4,1,0.003776,166065,166065
5,1,0.003732,166065,166065
6,1,0.003694,166065,166065
7,1,0.003714,166065,166065
8,1,0.003724,166065,166065
9,1,0.003717,166065,166065
10,1,0.003689,166065,166065
11,1,0.003669,166065,166065
12,1,0.003663,166065,166065
13,1,0.003652,166065,166065
14,1,0.003854,166065,166065
15,1,0.003703,166065,166065
16,1,0.003724,166065,166065
17,1,0.003684,166065,166065
18,1,0.003691,166065,166065
19,1,0.003707,166065,166065
20,1,0.003694,166065,166065
21,1,0.003670,166065,166065
22,1,0.003734,166065,166065
23,1,0.003683,166065,166065
24,1,0.003679,166065,166065
25,1,0.003713,166065,166065
26,1,0.003706,166065,166065
27,1,0.003720,166065,166065
28,1,0.003691,166065,166065
29,1,0.003687,166065,166065
30,1,0.003694,166065,166065
31,1,0.003778,166065,166065
32,1,0.003716,166065,166065
33,1,0.003676,166065,166065
34,1,0.003678,166065,166065
35,1,0.003681,166065,166065
36,1,0.003674,165877,165877
37,1,0.003720,165877,165877
38,1,0.003674,165877,165877
39,1,0.003673,165877,165877
40,1,0.003657,165877,165877
41,1,0.003657,165877,165877
42,1,0.003657,165877,165877
43,1,0.003691,165877,165877
44,1,0.003702,165877,165877
45,1,0.003687,165877,165877
46,1,0.003722,165877,165877
47,1,0.003720,165877,165877
48,1,0.003666,165877,165877
49,1,0.003762,165877,165877
50,1,0.003712,165877,165877
51,1,0.003692,165877,165877
52,1,0.003687,165877,165877
53,1,0.003670,165877,165877
54,1,0.003679,165877,165877
55,1,0.003678,165877,165877
56,1,0.003688,165877,165877
57,1,0.003680,165877,165877
58,1,0.003739,165877,165877
59,1,0.003906,165877,165877
60,1,0.003716,165877,165877
61,1,0.003829,165877,165877
62,1,0.003799,165877,165877
63,1,0.003968,165877,165877
64,1,0.004091,165877,165877
65,1,0.003997,165877,165877
66,1,0.004024,165877,165877
67,1,0.003845,165877,165877
68,1,0.004211,165877,165877
69,1,0.004097,165877,165877
70,1,0.003992,165877,165877
71,1,0.004112,165877,165877
72,1,0.003871,165877,165877
73,1,0.003923,165877,165877
74,1,0.003821,165877,165877
75,1,0.004049,165877,165877
76,1,0.004267,165877,165877
77,1,0.003818,165877,165877
78,1,0.003715,165877,165877
79,1,0.003709,165877,165877
80,1,0.003687,165877,165877
81,1,0.003651,165877,165877
82,1,0.003657,165877,165877
83,1,0.003690,165877,165877
84,1,0.003649,165877,165877
85,1,0.003683,165877,165877
86,1,0.003675,165877,165877
87,1,0.003643,165877,165877
88,1,0.003660,165877,165877
89,1,0.003658,165877,165877
90,1,0.003641,165877,165877
91,1,0.003651,165877,165877
92,1,0.003640,165877,165877
93,1,0.003644,165877,165877
94,1,0.003637,165877,165877
95,1,0.003670,165877,165877
96,1,0.003651,165877,165877
97,1,0.003659,165877,165877
98,1,0.003645,165877,165877
99,1,0.003840,165877,165877
100,1,0.003666,165877,165877
1,2,0.004530,165877,165877
2,2,0.004167,165877,165877
3,2,0.004544,165877,165877
4,2,0.003741,165877,165877
5,2,0.003727,165877,165877
6,2,0.003728,166710,166710
7,2,0.003731,166710,166710
8,2,0.003727,166710,166710
9,2,0.003719,166710,166710
10,2,0.003707,166710,166710
11,2,0.003693,166710,166710
12,2,0.003759,166710,166710
13,2,0.003724,166710,166710
14,2,0.003914,166710,166710
15,2,0.003758,166710,166710
16,2,0.003767,166710,166710
17,2,0.003749,166710,166710
18,2,0.003764,166710,166710
19,2,0.003740,166710,166710
20,2,0.003739,166710,166710
21,2,0.003763,166710,166710
22,2,0.003969,166710,166710
23,2,0.003764,166710,166710
24,2,0.003862,166710,166710
25,2,0.003785,166710,166710
26,2,0.003828,166710,166710
27,2,0.003738,166710,166710
28,2,0.003778,166710,166710
29,2,0.003768,166710,166710
30,2,0.003771,166710,166710
31,2,0.003734,166710,166710
32,2,0.003809,166710,166710
33,2,0.003730,166710,166710
34,2,0.003765,166710,166710
35,2,0.004740,166710,166710
36,2,0.003789,166710,166710
37,2,0.004398,166710,166710
38,2,0.003811,166710,166710
39,2,0.003804,166710,166710
40,2,0.003801,166710,166710
41,2,0.004318,166710,166710
42,2,0.005076,166710,166710
43,2,0.003869,166710,166710
44,2,0.005177,166710,166710
45,2,0.004437,166710,166710
46,2,0.004644,166710,166710
47,2,0.004764,166710,166710
48,2,0.003777,166710,166710
49,2,0.003835,166710,166710
50,2,0.005602,166710,166710
51,2,0.005799,166710,166710
52,2,0.003764,166710,166710
53,2,0.004076,166710,166710
54,2,0.003776,166710,166710
55,2,0.003902,166710,166710
56,2,0.003774,166710,166710
57,2,0.004350,166710,166710
58,2,0.003856,166710,166710
59,2,0.003837,166710,166710
60,2,0.003735,166710,166710
61,2,0.004076,166710,166710
62,2,0.003773,166710,166710
63,2,0.004173,166710,166710
64,2,0.003751,166710,166710
65,2,0.004969,166710,166710
66,2,0.005589,166710,166710
67,2,0.004920,166710,166710
68,2,0.005515,166710,166710
69,2,0.005301,166710,166710
70,2,0.005333,166710,166710
71,2,0.004962,166710,166710
72,2,0.005712,166710,166710
73,2,0.003837,166710,166710
74,2,0.004855,166710,166710
75,2,0.003958,166710,166710
76,2,0.003783,166710,166710
77,2,0.004750,166710,166710
78,2,0.003768,166710,166710
79,2,0.003741,166710,166710
80,2,0.004134,166710,166710
81,2,0.003776,166710,166710
82,2,0.003755,166710,166710
83,2,0.003745,166742,166742
84,2,0.003964,166742,166742
85,2,0.003778,166742,166742
86,2,0.004081,166742,166742
87,2,0.003761,166742,166742
88,2,0.003879,166742,166742
89,2,0.004077,166742,166742
90,2,0.003808,166742,166742
91,2,0.004305,166742,166742
92,2,0.004311,166742,166742
93,2,0.003748,166742,166742
94,2,0.004615,166742,166742
95,2,0.003796,166742,166742
96,2,0.004124,166742,166742
97,2,0.003734,166742,166742
98,2,0.004473,166742,166742
99,2,0.003926,166742,166742
100,2,0.003815,166742,166742
1,4,0.005806,166742,166742
2,4,0.005569,166742,166742
3,4,0.005471,166742,166742
4,4,0.005874,166742,166742
5,4,0.005589,166742,166742
6,4,0.005789,166742,166742
7,4,0.005678,166742,166742
8,4,0.005772,166742,166742
9,4,0.005742,166742,166742
10,4,0.005343,166742,166742
11,4,0.005141,166742,166742
12,4,0.005785,166742,166742
13,4,0.005154,166742,166742
14,4,0.005695,166742,166742
15,4,0.005764,166742,166742
16,4,0.005455,166742,166742
17,4,0.005779,166742,166742
18,4,0.005216,166742,166742
19,4,0.005771,166742,166742
20,4,0.005787,166742,166742
21,4,0.005463,166742,166742
22,4,0.005777,166742,166742
23,4,0.005784,166742,166742
24,4,0.005498,166742,166742
25,4,0.005776,166742,166742
26,4,0.005775,166742,166742
27,4,0.005776,166742,166742
28,4,0.005813,166742,166742
29,4,0.005767,166742,166742
30,4,0.005915,166742,166742
31,4,0.005784,166742,166742
32,4,0.005775,166742,166742
33,4,0.005761,166742,166742
34,4,0.005777,166742,166742
35,4,0.005792,166742,166742
36,4,0.005757,166742,166742
37,4,0.005755,166742,166742
38,4,0.005407,166742,166742
39,4,0.005773,166742,166742
40,4,0.005760,166742,166742
41,4,0.005711,166742,166742
