Test,Threads,Time,Count,Verified
1,1,0.006402,166600,166600
2,1,0.005655,166600,166600
3,1,0.005656,166600,166600
4,1,0.005665,166600,166600
5,1,0.005707,166600,166600
6,1,0.005837,166600,166600
7,1,0.005677,166600,166600
8,1,0.005698,166600,166600
9,1,0.005788,166600,166600
10,1,0.005742,166600,166600
11,1,0.005675,166600,166600
12,1,0.005560,166600,166600
13,1,0.005713,166600,166600
14,1,0.005680,166600,166600
15,1,0.005660,166600,166600
16,1,0.005812,166600,166600
17,1,0.005730,166600,166600
18,1,0.005648,166600,166600
19,1,0.005699,166600,166600
20,1,0.005490,166600,166600
21,1,0.005655,166600,166600
22,1,0.005724,166600,166600
23,1,0.005782,166600,166600
24,1,0.005669,166600,166600
25,1,0.005951,166600,166600
26,1,0.005761,166600,166600
27,1,0.005705,166600,166600
28,1,0.005669,166600,166600
29,1,0.005728,166600,166600
30,1,0.005642,166600,166600
31,1,0.005599,166600,166600
32,1,0.005622,166600,166600
33,1,0.005672,166600,166600
34,1,0.005648,166600,166600
35,1,0.005818,166600,166600
36,1,0.005734,166600,166600
37,1,0.005695,166600,166600
38,1,0.005645,166600,166600
39,1,0.005657,166600,166600
40,1,0.005617,166600,166600
41,1,0.005601,166600,166600
42,1,0.005664,166600,166600
43,1,0.005679,166600,166600
44,1,0.005513,166600,166600
45,1,0.005680,166600,166600
46,1,0.005637,166600,166600
47,1,0.005679,166600,166600
48,1,0.005618,166600,166600
49,1,0.005733,166600,166600
50,1,0.005650,166600,166600
51,1,0.005631,166600,166600
52,1,0.005637,166600,166600
53,1,0.005644,166600,166600
54,1,0.005620,166600,166600
55,1,0.005600,166600,166600
56,1,0.005508,166600,166600
57,1,0.005605,167242,167242
58,1,0.005622,167242,167242
59,1,0.005627,167242,167242
60,1,0.005646,167242,167242
61,1,0.005625,167242,167242
62,1,0.005726,167242,167242
63,1,0.005677,167242,167242
64,1,0.005713,167242,167242
65,1,0.005683,167242,167242
66,1,0.005467,167242,167242
67,1,0.005754,167242,167242
68,1,0.005936,167242,167242
69,1,0.005806,167242,167242
70,1,0.005926,167242,167242
71,1,0.005866,167242,167242
72,1,0.005844,167242,167242
73,1,0.005888,167242,167242
74,1,0.005977,167242,167242
75,1,0.005905,167242,167242
76,1,0.005874,167242,167242
77,1,0.005997,167242,167242
78,1,0.005905,167242,167242
79,1,0.005515,167242,167242
80,1,0.005762,167242,167242
81,1,0.005547,167242,167242
82,1,0.005684,167242,167242
83,1,0.005759,167242,167242
84,1,0.005668,167242,167242
85,1,0.005643,167242,167242
86,1,0.005623,167242,167242
87,1,0.005633,167242,167242
88,1,0.005654,167242,167242
89,1,0.005728,167242,167242
90,1,0.005686,167242,167242
91,1,0.005563,167242,167242
92,1,0.005666,167242,167242
93,1,0.005604,167242,167242
94,1,0.005365,167242,167242
95,1,0.005277,167242,167242
96,1,0.005608,167242,167242
97,1,0.005617,167242,167242
98,1,0.005666,167242,167242
99,1,0.005787,167242,167242
100,1,0.005698,167242,167242
1,2,0.015694,167242,167242
2,2,0.014944,167242,167242
3,2,0.018015,167242,167242
4,2,0.017465,167242,167242
5,2,0.017787,167242,167242
6,2,0.017864,167242,167242
7,2,0.017997,167242,167242
8,2,0.014071,167242,167242
9,2,0.017457,167242,167242
10,2,0.016706,167242,167242
11,2,0.017501,167242,167242
12,2,0.018061,167242,167242
13,2,0.016391,167242,167242
14,2,0.018398,167242,167242
15,2,0.017738,167242,167242
16,2,0.017312,166747,166747
17,2,0.016500,166747,166747
18,2,0.018012,166747,166747
19,2,0.016959,166747,166747
20,2,0.016468,166747,166747
21,2,0.012448,166747,166747
22,2,0.017921,166747,166747
23,2,0.016848,166747,166747
24,2,0.016615,166747,166747
25,2,0.018059,166747,166747
26,2,0.017634,166747,166747
27,2,0.017812,166747,166747
28,2,0.016743,166747,166747
29,2,0.015968,166747,166747
30,2,0.016848,166747,166747
31,2,0.017210,166747,166747
32,2,0.016375,166747,166747
33,2,0.017976,166747,166747
34,2,0.016138,166747,166747
35,2,0.017917,166747,166747
36,2,0.017379,166747,166747
37,2,0.016240,166747,166747
38,2,0.018522,166747,166747
39,2,0.015284,166747,166747
40,2,0.016585,166747,166747
41,2,0.017292,166747,166747
42,2,0.017378,166747,166747
43,2,0.016482,166747,166747
