Test,Threads,Time,Count,Verified
1,1,0.003929,166821,166821
2,1,0.003727,167243,167243
3,1,0.003727,167243,167243
4,1,0.003743,167243,167243
5,1,0.003798,167243,167243
6,1,0.003775,167243,167243
7,1,0.004869,167243,167243
8,1,0.003747,167243,167243
9,1,0.003832,167243,167243
10,1,0.003725,167243,167243
11,1,0.003767,167243,167243
12,1,0.003724,167243,167243
13,1,0.003811,167243,167243
14,1,0.003853,167243,167243
15,1,0.003863,167243,167243
16,1,0.003703,167243,167243
17,1,0.003856,167243,167243
18,1,0.003734,167243,167243
19,1,0.003893,167243,167243
20,1,0.003810,167243,167243
21,1,0.003778,167243,167243
22,1,0.003747,167243,167243
23,1,0.003710,167243,167243
24,1,0.003805,167243,167243
25,1,0.003738,167243,167243
26,1,0.003781,167243,167243
27,1,0.004223,167243,167243
28,1,0.004172,167243,167243
29,1,0.004149,167243,167243
30,1,0.003797,167243,167243
31,1,0.003790,167243,167243
32,1,0.003682,167243,167243
33,1,0.003674,167243,167243
34,1,0.003708,167243,167243
35,1,0.003704,167243,167243
36,1,0.003809,167243,167243
37,1,0.003696,167243,167243
38,1,0.003687,167243,167243
39,1,0.003724,167243,167243
40,1,0.003749,167243,167243
41,1,0.004219,167243,167243
42,1,0.003795,167243,167243
43,1,0.003726,167243,167243
44,1,0.003736,167243,167243
45,1,0.003742,167243,167243
46,1,0.003740,167243,167243
47,1,0.003743,167243,167243
48,1,0.003799,167243,167243
49,1,0.003777,167243,167243
50,1,0.003710,167243,167243
51,1,0.003693,167243,167243
52,1,0.003686,167243,167243
53,1,0.003858,167243,167243
54,1,0.003723,167243,167243
55,1,0.003793,167243,167243
56,1,0.003716,167243,167243
57,1,0.003732,167243,167243
58,1,0.003707,167243,167243
59,1,0.003779,167243,167243
60,1,0.003699,167243,167243
61,1,0.003678,167243,167243
62,1,0.003676,167243,167243
63,1,0.003754,167243,167243
64,1,0.003728,167243,167243
65,1,0.003717,167243,167243
66,1,0.003692,167243,167243
67,1,0.003777,167243,167243
68,1,0.003703,167243,167243
69,1,0.003721,167243,167243
70,1,0.003713,167243,167243
71,1,0.003714,167243,167243
72,1,0.003701,166078,166078
73,1,0.003673,166078,166078
74,1,0.003686,166078,166078
75,1,0.003687,166078,166078
76,1,0.003708,166078,166078
77,1,0.003693,166078,166078
78,1,0.003730,166078,166078
79,1,0.003765,166078,166078
80,1,0.003738,166078,166078
81,1,0.003727,166078,166078
82,1,0.003713,166078,166078
83,1,0.003763,166078,166078
84,1,0.003705,166078,166078
85,1,0.003729,166078,166078
86,1,0.003701,166078,166078
87,1,0.003703,166078,166078
88,1,0.003678,166078,166078
89,1,0.003661,166078,166078
90,1,0.003650,166078,166078
91,1,0.003701,166078,166078
92,1,0.003706,166078,166078
93,1,0.003675,166078,166078
94,1,0.003668,166078,166078
95,1,0.003672,166078,166078
96,1,0.003739,166078,166078
97,1,0.003800,166078,166078
98,1,0.004054,166078,166078
99,1,0.003729,166078,166078
100,1,0.003700,166078,166078
1,2,0.003806,166078,166078
2,2,0.003768,166078,166078
3,2,0.003801,166078,166078
4,2,0.003816,166078,166078
5,2,0.003873,166078,166078
6,2,0.003755,166078,166078
7,2,0.003748,166078,166078
8,2,0.004095,166078,166078
9,2,0.003772,166078,166078
10,2,0.003718,166078,166078
11,2,0.003728,166078,166078
12,2,0.003742,166078,166078
13,2,0.003801,166078,166078
14,2,0.003767,166078,166078
15,2,0.005356,166078,166078
16,2,0.004358,166078,166078
17,2,0.004299,166078,166078
18,2,0.004511,166078,166078
19,2,0.003762,166078,166078
20,2,0.003788,166078,166078
21,2,0.004396,166078,166078
22,2,0.003819,166078,166078
23,2,0.003761,166078,166078
24,2,0.003766,166078,166078
25,2,0.003757,166078,166078
26,2,0.003733,166078,166078
27,2,0.003726,166078,166078
28,2,0.003719,166078,166078
29,2,0.003741,166078,166078
30,2,0.003941,166078,166078
31,2,0.003755,166078,166078
32,2,0.003725,166078,166078
33,2,0.003786,166078,166078
34,2,0.003746,166078,166078
35,2,0.003997,166078,166078
36,2,0.003703,166078,166078
37,2,0.003778,166078,166078
38,2,0.003728,166078,166078
39,2,0.003765,166078,166078
40,2,0.003746,166078,166078
41,2,0.003762,166078,166078
42,2,0.003733,166078,166078
43,2,0.003768,166078,166078
44,2,0.004091,166078,166078
45,2,0.003842,166078,166078
46,2,0.003736,166078,166078
47,2,0.003817,166078,166078
48,2,0.003753,166078,166078
49,2,0.005074,166775,166775
50,2,0.004330,166775,166775
51,2,0.003791,166775,166775
52,2,0.003748,166775,166775
53,2,0.003756,166775,166775
54,2,0.004681,166775,166775
55,2,0.003882,166775,166775
56,2,0.003732,166775,166775
57,2,0.003722,166775,166775
58,2,0.003734,166775,166775
59,2,0.003768,166775,166775
60,2,0.003716,166775,166775
61,2,0.003776,166775,166775
62,2,0.003797,166775,166775
63,2,0.003763,166775,166775
64,2,0.003793,166775,166775
65,2,0.003755,166775,166775
66,2,0.003766,166775,166775
67,2,0.003739,166775,166775
68,2,0.003761,166775,166775
69,2,0.003756,166775,166775
70,2,0.003739,166775,166775
71,2,0.003772,166775,166775
72,2,0.003726,166775,166775
73,2,0.003762,166775,166775
74,2,0.003740,166775,166775
75,2,0.003738,166775,166775
76,2,0.003740,166775,166775
77,2,0.003788,166775,166775
78,2,0.003755,166775,166775
79,2,0.003778,166775,166775
80,2,0.003798,166775,166775
81,2,0.003748,166775,166775
82,2,0.004080,166775,166775
83,2,0.003741,166775,166775
84,2,0.003801,166775,166775
85,2,0.003761,166775,166775
86,2,0.003735,166775,166775
87,2,0.003725,166775,166775
88,2,0.003766,166775,166775
89,2,0.003750,166775,166775
90,2,0.003754,166775,166775
91,2,0.003734,166775,166775
92,2,0.003725,166775,166775
93,2,0.003726,166775,166775
